Region,years,products,Productivity (kg/ ha),Production (t),Area (ha) 
PT,1992,Ginja,1455.0,720.0,495.0
PT,1992,Girassol,662.0,51000.0,77000.0
PT,1992,Grão-de-bico,580.0,2194.0,3782.0
PT,1992,Kiwi,9519.0,10048.0,1056.0
PT,1992,Laranja,8922.0,177198.0,19861.0
PT,1992,Limão,5258.0,10863.0,2066.0
PT,1992,Lúpulo,0.0,0.0,0.0
PT,1992,Marmelo,8000.0,4000.0,500.0
PT,1992,Maçã,11280.0,281033.0,24915.0
PT,1992,Milho,3455.0,678041.0,196269.0
PT,1992,Milho regadio,3845.0,624445.0,162425.0
PT,1992,Milho sequeiro,1448.0,45181.0,31201.0
PT,1992,Nespera,3489.0,1619.0,464.0
PT,1992,Noz,2000.0,4200.0,2100.0
PT,1992,Olival,464.0,157125.0,338948.0
PT,1992,Principais culturas para indústria,5899.0,524594.0,88927.0
PT,1992,Principais frutos de casca rija,1060.0,67895.0,64028.0
PT,1992,Principais frutos frescos,7242.0,549257.0,75840.0
PT,1992,Principais frutos subtropicais,9519.0,10048.0,1056.0
PT,1992,Principais leguminosas secas,557.0,25381.0,45599.0
PT,1992,Pêra,7018.0,100677.0,14346.0
PT,1992,Pêssego,6426.0,104596.0,16278.0
PT,1992,Romã,4525.0,1810.0,400.0
PT,1992,Tabaco,1979.0,4335.0,2190.0
PT,1992,Tangera,5603.0,5600.0,1000.0
PT,1992,Tangerina,6625.0,26977.0,4072.0
PT,1992,Tomate para indústria,48026.0,450000.0,9370.0
PT,1992,Toranja,4437.0,800.0,180.0
PT,1992,Trigo,1291.0,361963.0,280293.0
PT,1992,Trigo duro,840.0,21039.0,25047.0
PT,1992,Trigo mole,1336.0,340924.0,255246.0
PT,1992,Triticale,1111.0,60000.0,54000.0
PT,1992,Uva de mesa,5375.0,53059.0,9871.0
PT,1992,Uva para vinho,3987.0,1013438.0,254191.0
PT,1992,Vinha,4039.0,1066497.0,264062.0
PT,1993,Ameixa,5814.0,15854.0,2727.0
PT,1993,Amêndoa,1050.0,43975.0,41893.0
PT,1993,Arroz,5227.0,69000.0,13200.0
PT,1993,Aveia,830.0,76400.0,92000.0
PT,1993,Avelã,1269.0,1271.0,1002.0
PT,1993,Azeitona de mesa,1090.0,10974.0,10072.0
PT,1993,Azeitona para azeite,719.0,237511.0,330507.0
PT,1993,Batata,13942.0,1332532.0,95577.0
PT,1993,Batata de regadio,15077.0,963485.0,63906.0
PT,1993,Batata de sequeiro,10952.0,310623.0,28362.0
PT,1993,Beterraba,50976.0,31962.0,627.0
PT,1993,Castanha,711.0,14129.0,19875.0
PT,1993,Centeio,920.0,66727.0,72516.0
PT,1993,Cereais para grão,2049.0,1478936.0,721793.0
PT,1993,Cereja,3208.0,13131.0,4093.0
PT,1993,Cevada,1598.0,98500.0,61643.0
PT,1993,Citrinos,8329.0,216629.0,26010.0
PT,1993,Damasco,6000.0,4260.0,710.0
PT,1993,Diospiro,2697.0,4180.0,1550.0
PT,1993,Feijão,525.0,14509.0,27636.0
PT,1993,Figo,1193.0,11500.0,9640.0
PT,1993,Ginja,1329.0,670.0,504.0
PT,1993,Girassol,474.0,45064.0,95000.0
PT,1993,Grão-de-bico,636.0,2069.0,3252.0
PT,1993,Kiwi,9524.0,10136.0,1064.0
PT,1993,Laranja,8574.0,173080.0,20187.0
PT,1993,Limão,8699.0,10442.0,1200.0
PT,1993,Lúpulo,419.0,39.0,93.0
PT,1993,Marmelo,6589.0,3380.0,513.0
PT,1993,Maçã,10529.0,264122.0,25084.0
PT,1993,Milho,3723.0,668472.0,179545.0
PT,1993,Milho regadio,4079.0,635501.0,155795.0
PT,1993,Milho sequeiro,1155.0,24672.0,21360.0
PT,1993,Nespera,2975.0,1419.0,477.0
PT,1993,Noz,1727.0,3523.0,2040.0
PT,1993,Olival,730.0,248485.0,340579.0
PT,1993,Principais culturas para indústria,5498.0,588670.0,107077.0
PT,1993,Principais frutos de casca rija,971.0,62898.0,64810.0
PT,1993,Principais frutos frescos,6802.0,509878.0,74956.0
PT,1993,Principais frutos subtropicais,9524.0,10136.0,1064.0
PT,1993,Principais leguminosas secas,537.0,16578.0,30888.0
PT,1993,Pêra,7161.0,98120.0,13702.0
PT,1993,Pêssego,5889.0,91542.0,15544.0
PT,1993,Romã,4126.0,1700.0,412.0
PT,1993,Tabaco,1294.0,2533.0,1957.0
PT,1993,Tangera,6167.0,5550.0,900.0
PT,1993,Tangerina,7496.0,26777.0,3572.0
PT,1993,Tomate para indústria,54157.0,509073.0,9400.0
PT,1993,Toranja,5190.0,780.0,150.0
PT,1993,Trigo,1686.0,421838.0,250189.0
PT,1993,Trigo duro,1550.0,18600.0,12000.0
PT,1993,Trigo mole,1693.0,403238.0,238189.0
PT,1993,Triticale,1480.0,78000.0,52700.0
PT,1993,Uva de mesa,5555.0,50059.0,9011.0
PT,1993,Uva para vinho,2550.0,626131.0,245517.0
PT,1993,Vinha,2657.0,676190.0,254528.0
PT,1994,Ameixa,7525.0,17653.0,2346.0
PT,1994,Amêndoa,630.0,26433.0,41953.0
PT,1994,Arroz,5478.0,131741.0,24051.0
PT,1994,Aveia,1059.0,79217.0,74790.0
PT,1994,Avelã,1264.0,1234.0,976.0
PT,1994,Azeitona de mesa,955.0,10000.0,10470.0
PT,1994,Azeitona para azeite,673.0,222210.0,330202.0
PT,1994,Batata,14495.0,1370735.0,94566.0
PT,1994,Batata de regadio,15893.0,990058.0,62297.0
PT,1994,Batata de sequeiro,11155.0,319812.0,28669.0
PT,1994,Beterraba,47745.0,50085.0,1049.0
PT,1994,Castanha,998.0,21439.0,21492.0
PT,1994,Centeio,965.0,63792.0,66112.0
PT,1994,Cereais para grão,2407.0,1630319.0,677354.0
PT,1994,Cereja,2708.0,11624.0,4292.0
PT,1994,Cevada,1802.0,96213.0,53388.0
PT,1994,Citrinos,9402.0,242638.0,25806.0
PT,1994,Damasco,7310.0,5124.0,701.0
PT,1994,Diospiro,3750.0,4500.0,1200.0
PT,1994,Feijão,531.0,13516.0,25447.0
PT,1994,Figo,771.0,7176.0,9313.0
PT,1994,Ginja,1280.0,640.0,500.0
PT,1994,Girassol,301.0,40000.0,132980.0
PT,1994,Grão-de-bico,691.0,2040.0,2953.0
PT,1994,Kiwi,8324.0,9239.0,1110.0
PT,1994,Laranja,9418.0,189198.0,20089.0
PT,1994,Limão,8487.0,11067.0,1304.0
PT,1994,Lúpulo,858.0,97.0,113.0
PT,1994,Marmelo,10000.0,4000.0,400.0
PT,1994,Maçã,8522.0,212015.0,24879.0
PT,1994,Milho,4094.0,711432.0,173778.0
PT,1994,Milho regadio,4350.0,691386.0,158926.0
PT,1994,Milho sequeiro,1058.0,13715.0,12965.0
PT,1994,Nespera,3579.0,1829.0,511.0
PT,1994,Noz,1406.0,2927.0,2081.0
PT,1994,Olival,682.0,232210.0,340672.0
PT,1994,Principais culturas para indústria,6432.0,973881.0,151405.0
PT,1994,Principais frutos de casca rija,782.0,52033.0,66502.0
PT,1994,Principais frutos frescos,6768.0,489117.0,72272.0
PT,1994,Principais frutos subtropicais,8324.0,9239.0,1110.0
PT,1994,Principais leguminosas secas,548.0,15556.0,28400.0
PT,1994,Pêra,9604.0,131413.0,13683.0
PT,1994,Pêssego,6515.0,91443.0,14035.0
PT,1994,Romã,4126.0,1700.0,412.0
PT,1994,Tabaco,2631.0,4699.0,1786.0
PT,1994,Tangera,9607.0,6576.0,685.0
PT,1994,Tangerina,9730.0,34822.0,3579.0
PT,1994,Tomate para indústria,56794.0,879000.0,15477.0
PT,1994,Toranja,6487.0,975.0,150.0
PT,1994,Trigo,1967.0,462536.0,235187.0
PT,1994,Trigo duro,2055.0,42549.0,20710.0
PT,1994,Trigo mole,1958.0,419987.0,214477.0
PT,1994,Triticale,1706.0,85388.0,50048.0
PT,1994,Uva de mesa,6905.0,53218.0,7707.0
PT,1994,Uva para vinho,3528.0,846443.0,239908.0
PT,1994,Vinha,3633.0,899661.0,247615.0
PT,1995,Ameixa,7690.0,17980.0,2338.0
PT,1995,Amêndoa,567.0,23552.0,41512.0
PT,1995,Arroz,5733.0,124554.0,21726.0
PT,1995,Aveia,785.0,57636.0,73448.0
PT,1995,Avelã,855.0,842.0,986.0
PT,1995,Azeitona de mesa,819.0,8495.0,10375.0
PT,1995,Azeitona para azeite,964.0,311257.0,322769.0
PT,1995,Batata,14846.0,1420542.0,95684.0
PT,1995,Batata de regadio,16649.0,1029756.0,61851.0
PT,1995,Batata de sequeiro,11026.0,333392.0,30237.0
PT,1995,Beterraba,43406.0,56991.0,1313.0
PT,1995,Castanha,1005.0,23238.0,23125.0
PT,1995,Centeio,583.0,36263.0,62252.0
